disease,category,description,causes,common_symptoms,risk_factors,complications,prevention,specialist_doctor,severity
Arthritis,Musculoskeletal Disease,Inflammation of one or more joints causing pain and stiffness,Joint wear and tear;Infections;Autoimmune response,Joint pain;Stiffness;Swelling;Redness,Age;Obesity;Previous joint injury;Genetics,Chronic pain;Loss of mobility;Deformity,Maintaining a healthy weight;Regular low-impact exercise,Rheumatologist,Medium
Osteoarthritis,Musculoskeletal Disease,Degenerative joint disease caused by breakdown of cartilage,Aging and joint wear and tear,Pain during movement;Stiffness after rest;Loss of flexibility,Old age;Obesity;Repetitive joint stress,Severe joint degeneration;Disability,Weight management;Joint protection strategies,Rheumatologist,Medium
Rheumatoid Arthritis,Musculoskeletal Disease,Chronic autoimmune disorder where the immune system attacks joint linings,Autoimmune response,Symmetrical joint pain;Swelling;Morning stiffness;Fatigue,Smoking;Genetics;Female gender,Joint destruction;Cardiovascular disease;Lung fibrosis,Early therapeutic intervention,Rheumatologist,High
Back Pain,Musculoskeletal Disease,Physical discomfort occurring anywhere along the spine or back,Muscle strain;Disc injury;Poor posture,Aching muscles;Shooting pain;Limited flexibility,Improper lifting;Sedentary lifestyle;Obesity,Chronic pain;Nerve compression;Reduced mobility,Core strengthening;Good posture,Orthopedist,Low
Kidney Stone,Urinary Disease,Hard deposits made of minerals and salts that form inside the kidneys,Dehydration;Excess dietary oxalates or calcium,Severe back or side pain;Painful urination;Blood in urine,Inadequate water intake;Obesity;High-protein diet,Urinary tract obstruction;Kidney infection,Drinking lots of water;Reducing sodium,Urologist,Medium
Urinary Tract Infection,Urinary Disease,Infection in any part of the urinary system,E. coli bacteria,Burning sensation during urination;Frequent urge to urinate;Cloudy urine,Female anatomy;Sexual activity;Urinary catheters,Kidney infection;Sepsis;Recurrent UTIs,Wiping front to back;Hydration;Urination after sex,Urologist,Medium
Fatty Liver,Hepatic Disease,Condition marked by excess accumulation of fat in liver cells,Obesity;Insulin resistance;High alcohol intake,Often asymptomatic;Fatigue;Pain in upper right abdomen,Poor diet;Type 2 diabetes;High cholesterol,Cirrhosis;Liver failure;Liver cancer,Balanced diet;Weight control;Limiting alcohol,Hepatologist,Medium
Hepatitis A,Hepatic Disease,Highly contagious liver infection caused by the hepatitis A virus,Hepatitis A virus,Fatigue;Sudden nausea;Abdominal pain;Jaundice,Lack of clean water;Poor sanitation;Travel to endemic zones,Acute liver failure (rare),Hepatitis A vaccine;Good hand hygiene,Hepatologist,Medium
Hepatitis B,Hepatic Disease,Serious liver infection that can become chronic and lead to liver failure,Hepatitis B virus,Abdominal pain;Dark urine;Jaundice;Joint pain,Unprotected sex;Sharing needles;Mother-to-child transmission,Cirrhosis;Liver cancer;Liver failure,Hepatitis B vaccine;Safe sex practices,Hepatologist,High
Hepatitis C,Hepatic Disease,Viral infection that causes liver inflammation sometimes leading to serious damage,Hepatitis C virus,Fatigue;Jaundice;Easy bleeding;Loss of appetite,Exposure to infected blood;Sharing needles,Chronic liver disease;Cirrhosis;Liver failure,Avoiding sharing needles or personal care items,Hepatologist,High
Anemia,Hematological Disease,Condition in which the body lacks enough healthy red blood cells,Iron deficiency;Vitamin deficiency;Chronic disease,Fatigue;Weakness;Pale skin;Cold hands and feet,Poor diet;Pregnancy;Chronic bleeding;Intestinal disorders,Heart problems;Severe pregnancy complications,Iron-rich diet;Vitamin supplements,Hematologist,Medium
Hypothyroidism,Endocrine Disease,Underactive thyroid gland that does not produce enough thyroid hormone,Autoimmune disease;Radiation therapy;Thyroid surgery,Fatigue;Weight gain;Dry skin;Constipation;Cold intolerance,Female gender;Age over 60;Family history,Goiter;Heart problems;Myxedema coma,None;Early detection and management,Endocrinologist,Medium
Hyperthyroidism,Endocrine Disease,Overactive thyroid gland producing excessive amounts of thyroid hormones,Graves disease;Thyroid nodules;Thyroiditis,Rapid heart rate;Weight loss;Anxiety;Tremors;Sweating,Family history;Female gender;Smoking,Arrhythmia;Osteoporosis;Thyroid storm,None;Prompt medical management,Endocrinologist,Medium
Obesity,Metabolic Disorder,Complex disease involving an excessive amount of body fat,Caloric imbalance;Genetics;Lack of physical activity,High body mass index;Shortness of breath;Fatigue,Sedentary lifestyle;Poor diet;Stress;Poor sleep,Heart disease;Type 2 diabetes;Certain cancers,Healthy eating habits;Regular exercise,Bariatric Specialist,Medium
Malnutrition,Metabolic Disorder,Condition resulting from a diet lacking or excessive in nutrients,Inadequate food intake;Absorption issues;Poverty,Weight loss;Fatigue;Dizziness;Dry skin;Brittle hair,Poverty;Eating disorders;Chronic illness;Elderly age,Impaired growth;Weakened immunity;Organ failure,Access to a balanced and diverse diet,General Physician,Medium
Allergy,Immunological Disorder,Immune system reaction to a foreign substance,Hypersensitivity to environmental elements,Sneezing;Itchy watery eyes;Runny nose;Rashes,Family history of allergies;Asthma,Anaphylaxis;Worsened asthma,Avoiding known allergens,Allergist,Low
Skin Allergy,Immunological Disorder,Allergic reaction of the skin resulting in inflammation or irritation,Contact with allergens like latex chemicals or plants,Redness;Itching;Swelling;Blisters,Sensitive skin;Family history;Frequent chemical exposure,Secondary skin infections;Chronic eczema,Using hypoallergenic products;Avoiding triggers,Dermatologist,Low
Eczema,Dermatological Disease,Condition that makes the skin red itchy and inflamed,Genetic factors;Immune dysfunction;Triggers,Dry patches of skin;Intense itching;Red or brownish rashes,Family history of eczema or asthma;Dry environments,Skin infections;Neurodermatitis,Regular moisturizing;Avoiding harsh soaps,Dermatologist,Low
Psoriasis,Dermatological Disease,Autoimmune condition that speeds up the life cycle of skin cells,Autoimmune skin cell overproduction,Silvery scales;Red skin patches;Dry cracked skin,Family history;Stress;Smoking;Obesity,Psoriatic arthritis;Cardiovascular problems,Stress management;Moisturizing;Avoiding triggers,Dermatologist,Medium
Acne,Dermatological Disease,Skin condition that occurs when hair follicles become plugged with oil and dead skin cells,Excess oil;Bacteria;Hormonal activity,Pimples;Blackheads;Whiteheads;Cysts,Hormonal shifts (puberty);Stress;Oily cosmetics,Permanent scarring;Low self-esteem,Gentle face washing;Avoiding popping pimples,Dermatologist,Low
Fungal Infection,Dermatological Disease,Skin disease caused by fungus affecting areas like feet groin or nails,Fungi overgrowth in warm moist environments,Itching;Red scaly rash;Burning sensation,Poor hygiene;Humid weather;Tight clothing;Weak immunity,Secondary bacterial infections;Nail destruction,Keeping skin clean and dry;Antifungal powders,Dermatologist,Low
Conjunctivitis,Ophthalmological Disease,Inflammation or infection of the transparent membrane lining the eyelid,Viruses;Bacteria;Allergens,Redness;Itchiness;Gritty feeling;Discharge in eyes,Contact lens wear;Exposure to infected persons;Allergies,Corneal inflammation;Vision impairment (rare),Hand hygiene;Not sharing eye products or towels,Ophthalmologist,Low
Cataract,Ophthalmological Disease,Clouding of the normally clear lens of the eye,Aging;Injury;Protein buildup in lens,Blurred vision;Difficulty seeing at night;Fading colors,Advanced age;Diabetes;Excessive sunlight;Smoking,Permanent blindness if left untreated,Protecting eyes from UV rays;Quitting smoking,Ophthalmologist,Medium
Glaucoma,Ophthalmological Disease,Group of eye conditions that damage the optic nerve crucial for good vision,Abnormally high pressure in the eye,Gradual loss of peripheral vision;Severe eye pain;Tunnel vision,Age over 60;Family history;Diabetes;High eye pressure,Irreversible blindness,Regular eye checkups for early detection,Ophthalmologist,High
Ear Infection,Otolaryngological Disease,Infection of the middle ear space behind the eardrum,Bacterial or viral infection from colds or allergies,Ear pain;Fluid drainage;Diminished hearing,Young age;Daycare attendance;Air pollution,Hearing loss;Torn eardrum;Mastoiditis,Preventing colds;Avoiding secondhand smoke,ENT Specialist,Low
Tonsillitis,Otolaryngological Disease,Inflammation of the two oval-shaped pads of tissue at the back of the throat,Viral or bacterial infection,Swollen tonsils;Sore throat;Difficulty swallowing;Fever,Childhood age;Frequent exposure to pathogens,Peritonsillar abscess;Rheumatic fever,Good hand hygiene;Avoiding close contact,ENT Specialist,Low
Pharyngitis,Otolaryngological Disease,Inflammation of the pharynx causing a sore throat,Viral infections like cold or flu;Streptococcus bacteria,Sore throat;Difficulty swallowing;Swollen lymph nodes,Smoking;Allergies;Frequent sinus infections,Rheumatic fever;Kidney inflammation from strep,Avoiding sharing food utensils;Hand hygiene,ENT Specialist,Low
Depression,Mental Health Disorder,Mood disorder that causes a persistent feeling of sadness and loss of interest,Complex combination of genetic biological and environmental factors,Persistent sadness;Fatigue;Changes in sleep;Appetite shifts,Family history;Trauma;Chronic illness;Low self-esteem,Suicidal ideation;Self-harm;Social isolation,Stress reduction;Therapy;Social support,Psychiatrist,High
Anxiety Disorder,Mental Health Disorder,Mental health condition characterized by excessive persistent worry and fear,Brain chemistry;Genetics;Environmental stress,Rapid heart rate;Restlessness;Excessive worrying;Sweating,Stress accumulation;Family history;Trauma,Depression;Chronic insomnia;Physical health problems,Stress management;Early counseling,Psychiatrist,Medium
Panic Disorder,Mental Health Disorder,Anxiety disorder characterized by unexpected and repeated episodes of intense fear,Genetics;Major life stress;Brain function changes,Sudden panic attacks;Chest pain;Shortness of breath;Chills,Family history;High stress levels;History of trauma,Agoraphobia;Substance abuse;Social withdrawal,Cognitive behavioral therapy;Stress reduction,Psychiatrist,Medium
Insomnia,Mental Health Disorder,Sleep disorder characterized by persistent difficulty falling or staying asleep,Stress;Poor sleep habits;Medications;Medical conditions,Difficulty falling asleep;Waking during night;Daytime fatigue,High stress;Irregular work shifts;Excessive caffeine use,Depression;High blood pressure;Accidents,Consistent sleep schedule;No caffeine before bed,Sleep Specialist,Medium
Epilepsy,Neurological Disorder,Central nervous system disorder in which brain activity becomes abnormal,Genetic influence;Head trauma;Brain conditions,Recurrent seizures;Temporary confusion;Staring spells,Family history;Head injuries;Stroke;Brain infections,Status epilepticus;Sudden unexpected death in epilepsy,Preventing head injuries;Stroke prevention,Neurologist,High
Parkinson Disease,Neurological Disorder,Progressive nervous system disorder that affects physical movement,Loss of dopamine-producing brain cells,Tremors;Slow movement;Stiff muscles;Impaired balance,Older age;Genetics;Toxin exposure,Dementia;Difficulty swallowing;Falls;Sleep disorders,None currently known;Regular physical activity,Neurologist,High
Alzheimer Disease,Neurological Disorder,Progressive neurologic disorder causing brain cells to waste away and die,Abnormal buildup of proteins in and around brain cells,Memory loss;Confusion;Difficulty thinking;Disorientation,Advanced age;Family history;Down syndrome;Head trauma,Pneumonia;Falls;Malnutrition;Severe cognitive loss,Intellectual activity;Heart-healthy lifestyle,Neurologist,Critical
Stroke,Neurological Disorder,Medical emergency where blood supply to part of the brain is interrupted,Blood clot or ruptured blood vessel in the brain,Sudden numbness;Difficulty speaking;Confusion;Loss of balance,Hypertension;Smoking;Diabetes;High cholesterol,Permanent paralysis;Speech loss;Cognitive decline,Managing blood pressure;Quitting smoking,Neurologist,Critical
Heart Disease,Cardiovascular Disease,Range of conditions that affect the structure and function of the heart,Plaque buildup in arteries;Genetic defects,Chest pain;Shortness of breath;Palpitations;Fatigue,High blood pressure;Smoking;Obesity;Sedentary life,Heart attack;Heart failure;Stroke;Sudden cardiac arrest,Heart-healthy diet;Regular exercise;No smoking,Cardiologist,Critical
Coronary Artery Disease,Cardiovascular Disease,Narrowing or blockage of the coronary arteries usually caused by plaque,Atherosclerosis,Chest pain (angina);Shortness of breath;Heart attack,High cholesterol;Smoking;Hypertension;Diabetes,Heart attack;Heart failure;Arrhythmias,Low-fat diet;Managing weight;Quitting smoking,Cardiologist,Critical
Heart Failure,Cardiovascular Disease,Chronic condition where the heart doesn't pump blood as well as it should,Damage to heart muscle from CAD or hypertension,Shortness of breath;Fatigue;Swollen legs or feet;Chronic cough,Coronary artery disease;Hypertension;Obesity;Diabetes,Kidney damage;Heart valve problems;Liver damage,Managing underlying heart conditions;Low-salt diet,Cardiologist,Critical
Arrhythmia,Cardiovascular Disease,Condition where the heart beats with an irregular or abnormal rhythm,Changes in heart tissue;Electrolyte imbalances,Palpitations;Fluttering in chest;Dizziness;Fainting,Heart disease;Hypertension;Excessive caffeine or alcohol,Stroke;Heart failure;Sudden cardiac death,Limiting stimulants;Managing stress;Heart care,Cardiologist,High
Angina,Cardiovascular Disease,Type of chest pain caused by reduced blood flow to the heart muscle,Coronary artery narrowing,Chest tightness or squeezing;Pain in jaw neck or back,Smoking;Diabetes;High blood pressure;High cholesterol,Heart attack;Unstable angina,Healthy lifestyle;Taking prescribed cardiac meds,Cardiologist,High
COPD,Respiratory Disease,Chronic inflammatory lung disease that causes obstructed airflow from the lungs,Long-term exposure to irritating gases or particulate matter,Shortness of breath;Wheezing;Chronic cough with mucus,Tobacco smoking;Occupational exposure to dust and chemicals,Respiratory infections;Heart problems;Lung cancer,Never smoking;Avoiding secondhand smoke,Pulmonologist,High
Sleep Apnea,Respiratory Disease,Potential serious sleep disorder where breathing repeatedly stops and starts,Throat muscles intermittently relaxing and blocking airway,Loud snoring;Gasping for air during sleep;Daytime fatigue,Obesity;Thicker neck circumference;Male gender;Aging,High blood pressure;Type 2 diabetes;Liver problems,Weight loss;Avoiding alcohol before bed;Using CPAP,Sleep Specialist,Medium
Appendicitis,Gastrointestinal Disease,Inflammation of the appendix creating a painful medical emergency,Blockage in the lining of the appendix,Sudden pain in right lower abdomen;Nausea;Fever,None explicitly identified,Peritonitis from ruptured appendix;Abscess formation,None;Prompt surgical intervention,General Surgeon,Critical
Gallstones,Gastrointestinal Disease,Hardened deposits of digestive fluid that can form in your gallbladder,Excess cholesterol or bilirubin in bile,Sudden intensifying pain in upper right abdomen;Nausea,Female gender;Overweight;Age over 40;Sedentary life,Cholecystitis;Biliary tract blockage;Pancreatitis,Maintaining healthy weight;Avoiding rapid weight loss,Gastroenterologist,Medium
Pancreatitis,Gastrointestinal Disease,Inflammation in the pancreas that can be acute or chronic,Gallstones;Heavy alcohol use;Medications,Severe upper abdominal pain;Fever;Rapid pulse;Nausea,Alcoholism;Gallstones;Obesity;Smoking,Pancreatic pseudocysts;Infection;Kidney failure,Limiting alcohol;Managing gallstones;Healthy diet,Gastroenterologist,High
PCOS,Endocrine Disease,Hormonal disorder common among women of reproductive age,Insulin resistance;Low-grade inflammation;Heredity,Irregular periods;Excess facial hair;Acne;Weight gain,Family history of PCOS;Obesity,Infertility;Type 2 diabetes;Endometrial cancer,Weight management;Balanced nutrition,Endocrinologist,Medium
Menstrual Disorder,Endocrine Disease,Disruptions or irregularities in a woman's normal menstrual cycle,Hormonal imbalances;Fibroids;Stress;Polypeptides,Heavy bleeding;Missed periods;Severe cramping;Mood swings,Extreme weight changes;Chronic stress;Polycystic ovaries,Anemia;Infertility;Osteoporosis,Stress management;Balanced diet;Regular checkups,Gynecologist,Medium
Osteoporosis,Musculoskeletal Disease,Condition that weakens bones making them fragile and more likely to break,Loss of bone mass and density with age,Back pain;Loss of height;Bones that break easily,Postmenopausal status;Low calcium intake;Inactivity,Severe fractures from minor falls;Chronic pain,Calcium and Vitamin D intake;Weight-bearing exercise,Rheumatologist,Medium
Gout,Musculoskeletal Disease,Form of inflammatory arthritis characterized by severe sudden attacks of pain,Accumulation of uric acid crystals in the joint,Intense joint pain;Redness;Swelling;Limited mobility,Diet rich in meat and seafood;Alcohol use;Obesity,Recurrent gout flares;Tophi;Kidney stones,Limiting high-purine foods and alcohol;Hydration,Rheumatologist,Medium
Lupus,Musculoskeletal Disease,Systemic autoimmune disease that occurs when your immune system attacks tissues,Autoimmune dysfunction,Fatigue;Joint pain;Butterfly-shaped facial rash;Fever,Female gender;Age 15 to 45;Certain ethnicities,Kidney damage;Brain inflammation;Heart complications,Sun protection;Avoiding known triggers,Rheumatologist,High
Multiple Sclerosis,Neurological Disorder,Disease in which the immune system eats away at the protective covering of nerves,Autoimmune nerve damage,Numbness or weakness;Vision loss;Slurred speech;Fatigue,Age 20 to 40;Female gender;Family history,Muscle stiffness or spasms;Paralysis;Mental changes,None known;Early disease-modifying therapies,Neurologist,High
Leukemia,Oncological Disease,Cancer of the body's blood-forming tissues including bone marrow,Genetic mutations in white blood cells,Fever;Persistent fatigue;Easy bruising or bleeding;Infections,Previous cancer therapy;Genetic disorders;Chemical exposures,Severe bleeding;Severe infections;Anemia,Avoiding radiation and toxic chemicals,Oncologist,Critical
Lymphoma,Oncological Disease,Cancer of the lymphatic system which is part of the body's germ-fighting network,Genetic mutations in lymphocytes,Painless swelling of lymph nodes;Night sweats;Weight loss,Older age;Male gender;Weakened immune system,Compromised immunity;Organ compression from tumors,None proven;Maintaining a strong immune system,Oncologist,Critical
Breast Cancer,Oncological Disease,Cancer that forms in the cells of the breasts,Genetic mutations;Hormonal influences,Lump in breast;Change in breast shape or skin;Dimpling,Female gender;Increasing age;Obesity;Family history,Metastasis to lungs bones or brain;Death,Regular screening mammograms;Healthy lifestyle,Oncologist,Critical
Lung Cancer,Oncological Disease,Cancer that forms in tissues of the lung usually in cells lining air passages,Cigarette smoking;Exposure to carcinogens,New persistent cough;Coughing up blood;Shortness of breath,Cigarette smoking;Radon gas exposure;Secondhand smoke,Metastasis;Fluid accumulation in chest;Death,Never smoking;Avoiding environmental carcinogens,Oncologist,Critical
Colon Cancer,Oncological Disease,Cancer of the large intestine which is the final part of the digestive tract,Genetic mutations in colon lining cells,Changes in bowel habits;Blood in stool;Abdominal pain,Older age;Low-fiber high-fat diet;Sedentary life,Bowel obstruction;Metastasis to liver,Regular screening colonoscopies;High-fiber diet,Oncologist,Critical
Cervical Cancer,Oncological Disease,Cancer in the cells of the cervix the lower part of the uterus,Persistent infection with human papillomavirus (HPV),Abnormal vaginal bleeding;Pelvic pain;Pain during intercourse,Infection with HPV;Smoking;Weak immune system,Metastasis;Kidney failure from blockage;Death,HPV vaccine;Regular Pap smear tests,Oncologist,Critical
Ovarian Cancer,Oncological Disease,Cancer that begins in the female organs that produce eggs,Genetic mutations in ovarian tissue,Abdominal bloating;Pelvic pain;Feeling full quickly,Older age;Family history of ovarian or breast cancer,Metastasis;Intestinal obstruction;Ascites;Death,Oral contraceptives may reduce risk;Genetic screening,Oncologist,Critical
Prostate Cancer,Oncological Disease,Cancer in a man's prostate a small walnut-shaped gland that produces seminal fluid,Genetic mutations in prostate cells,Difficulty urinating;Blood in semen;Bone pain;Erectile issues,Advanced age;Family history;Black race;Obesity,Urinary incontinence;Erectile dysfunction;Metastasis,Regular PSA screening;Healthy low-fat diet,Oncologist,Critical
Oral Cancer,Oncological Disease,Cancer that develops in any part of the mouth or oral cavity,DNA mutations from tobacco alcohol or HPV,Sore in mouth that doesn't heal;White or red patches,Tobacco use;Heavy alcohol use;Excessive sun exposure to lips,Disfigurement from surgery;Difficulty swallowing or speaking,Avoiding tobacco;Limiting alcohol;HPV vaccination,Oncologist,Critical
Skin Cancer,Oncological Disease,Abnormal growth of skin cells most often developing on skin exposed to sunlight,Ultraviolet radiation from the sun or tanning beds,Changes in moles;New unusual skin growths;Non-healing sores,Fair skin;History of sunburns;Excessive sun exposure,Deep tissue destruction;Metastasis (melanoma),Using sunscreen;Avoiding peak sun hours;Skin exams,Oncologist,High
Measles,Infectious Disease,Highly contagious viral disease characterized by a distinct red skin rash,Measles virus,Fever;Dry cough;Runny nose;Sore throat;Skin rash,Unvaccinated status;Vitamin A deficiency;International travel,Pneumonia;Encephalitis;Ear infections,MMR vaccine,Pediatrician,Medium
Chickenpox,Infectious Disease,Highly contagious viral infection causing an itchy blister-like rash,Varicella-zoster virus,Itchy red rash;Fluid-filled blisters;Fever;Fatigue,Not having had the disease;Not being vaccinated,Bacterial skin infections;Pneumonia;Encephalitis,Varicella vaccine,Pediatrician,Low
