user_term,standard_symptom,language
body aag jaisa jal raha hai,high_fever,Hinglish
sir mujhe body aag jaisa jal raha hai ho gaya hai,high_fever,Hinglish
body aag jaisa jal raha hai ki problem hai,high_fever,Hinglish
bhaiya body aag jaisa jal raha hai thik nhi ho rha,high_fever,Hinglish
bahut jyada bukhar,high_fever,Hinglish
sir mujhe bahut jyada bukhar ho gaya hai,high_fever,Hinglish
bahut jyada bukhar ki problem hai,high_fever,Hinglish
bhaiya bahut jyada bukhar thik nhi ho rha,high_fever,Hinglish
बड़ तेज बुखार बा,high_fever,Bhojpuri
हमरा के बड़ तेज बुखार बा बा,high_fever,Bhojpuri
परेशान बानी बड़ तेज बुखार बा से,high_fever,Bhojpuri
देह आगी नियर जरता,high_fever,Bhojpuri
हमरा के देह आगी नियर जरता बा,high_fever,Bhojpuri
परेशान बानी देह आगी नियर जरता से,high_fever,Bhojpuri
कड़ाका के बुखार बा,high_fever,Bhojpuri
हमरा के कड़ाका के बुखार बा बा,high_fever,Bhojpuri
परेशान बानी कड़ाका के बुखार बा से,high_fever,Bhojpuri
बहुत बेसी बुखार बा,high_fever,Bhojpuri
हमरा के बहुत बेसी बुखार बा बा,high_fever,Bhojpuri
परेशान बानी बहुत बेसी बुखार बा से,high_fever,Bhojpuri
bar tej bukhar ba,high_fever,Roman Bhojpuri
hamra ke bar tej bukhar ba,high_fever,Roman Bhojpuri
babuji ke bar tej bukhar ba,high_fever,Roman Bhojpuri
deh me bar tej bukhar ba lagta,high_fever,Roman Bhojpuri
deh aagi niyar jarta,high_fever,Roman Bhojpuri
hamra ke deh aagi niyar jarta,high_fever,Roman Bhojpuri
babuji ke deh aagi niyar jarta,high_fever,Roman Bhojpuri
deh me deh aagi niyar jarta lagta,high_fever,Roman Bhojpuri
karaka ke bukhar ba,high_fever,Roman Bhojpuri
hamra ke karaka ke bukhar ba,high_fever,Roman Bhojpuri
babuji ke karaka ke bukhar ba,high_fever,Roman Bhojpuri
deh me karaka ke bukhar ba lagta,high_fever,Roman Bhojpuri
bahut besi bukhar ba,high_fever,Roman Bhojpuri
hamra ke bahut besi bukhar ba,high_fever,Roman Bhojpuri
babuji ke bahut besi bukhar ba,high_fever,Roman Bhojpuri
deh me bahut besi bukhar ba lagta,high_fever,Roman Bhojpuri
hamra tej bukhar ba,high_fever,Roman Bhojpuri
hamra ke hamra tej bukhar ba,high_fever,Roman Bhojpuri
babuji ke hamra tej bukhar ba,high_fever,Roman Bhojpuri
deh me hamra tej bukhar ba lagta,high_fever,Roman Bhojpuri
headache,headache,English
suffering from headache,headache,English
feeling headache,headache,English
mild headache,headache,English
head pain,headache,English
suffering from head pain,headache,English
feeling head pain,headache,English
mild head pain,headache,English
hedache,headache,English
suffering from hedache,headache,English
feeling hedache,headache,English
mild hedache,headache,English
my head hurts,headache,English
suffering from my head hurts,headache,English
feeling my head hurts,headache,English
mild my head hurts,headache,English
severe headache,headache,English
suffering from severe headache,headache,English
feeling severe headache,headache,English
mild severe headache,headache,English
head aching,headache,English
suffering from head aching,headache,English
feeling head aching,headache,English
mild head aching,headache,English
सिर दर्द,headache,Hindi
मुझे सिर दर्द महसूस हो रहा है,headache,Hindi
लगातार सिर दर्द,headache,Hindi
सर दर्द,headache,Hindi
मुझे सर दर्द महसूस हो रहा है,headache,Hindi
लगातार सर दर्द,headache,Hindi
सिर में दर्द,headache,Hindi
मुझे सिर में दर्द महसूस हो रहा है,headache,Hindi
लगातार सिर में दर्द,headache,Hindi
आधा सिर दर्द,headache,Hindi
मुझे आधा सिर दर्द महसूस हो रहा है,headache,Hindi
लगातार आधा सिर दर्द,headache,Hindi
सर फट रहा है,headache,Hindi
मुझे सर फट रहा है महसूस हो रहा है,headache,Hindi
लगातार सर फट रहा है,headache,Hindi
sir dard,headache,Hinglish
sir mujhe sir dard ho gaya hai,headache,Hinglish
sir dard ki problem hai,headache,Hinglish
bhaiya sir dard thik nhi ho rha,headache,Hinglish
sar dard,headache,Hinglish
sir mujhe sar dard ho gaya hai,headache,Hinglish
sar dard ki problem hai,headache,Hinglish
bhaiya sar dard thik nhi ho rha,headache,Hinglish
sir me dard hai,headache,Hinglish
sir mujhe sir me dard hai ho gaya hai,headache,Hinglish
sir me dard hai ki problem hai,headache,Hinglish
bhaiya sir me dard hai thik nhi ho rha,headache,Hinglish
sar phat raha hai,headache,Hinglish
sir mujhe sar phat raha hai ho gaya hai,headache,Hinglish
sar phat raha hai ki problem hai,headache,Hinglish
bhaiya sar phat raha hai thik nhi ho rha,headache,Hinglish
headache ho raha hai,headache,Hinglish
sir mujhe headache ho raha hai ho gaya hai,headache,Hinglish
headache ho raha hai ki problem hai,headache,Hinglish
bhaiya headache ho raha hai thik nhi ho rha,headache,Hinglish
माथा दुखता,headache,Bhojpuri
हमरा के माथा दुखता बा,headache,Bhojpuri
परेशान बानी माथा दुखता से,headache,Bhojpuri
कपार दुखता,headache,Bhojpuri
हमरा के कपार दुखता बा,headache,Bhojpuri
परेशान बानी कपार दुखता से,headache,Bhojpuri
माथा में दरद बा,headache,Bhojpuri
हमरा के माथा में दरद बा बा,headache,Bhojpuri
परेशान बानी माथा में दरद बा से,headache,Bhojpuri
कपार फाटता,headache,Bhojpuri
हमरा के कपार फाटता बा,headache,Bhojpuri
परेशान बानी कपार फाटता से,headache,Bhojpuri
मुड़ दुखाई,headache,Bhojpuri
हमरा के मुड़ दुखाई बा,headache,Bhojpuri
परेशान बानी मुड़ दुखाई से,headache,Bhojpuri
matha dukhata,headache,Roman Bhojpuri
hamra ke matha dukhata,headache,Roman Bhojpuri
babuji ke matha dukhata,headache,Roman Bhojpuri
deh me matha dukhata lagta,headache,Roman Bhojpuri
kapar dukhata,headache,Roman Bhojpuri
hamra ke kapar dukhata,headache,Roman Bhojpuri
babuji ke kapar dukhata,headache,Roman Bhojpuri
deh me kapar dukhata lagta,headache,Roman Bhojpuri
matha me darad ba,headache,Roman Bhojpuri
hamra ke matha me darad ba,headache,Roman Bhojpuri
babuji ke matha me darad ba,headache,Roman Bhojpuri
deh me matha me darad ba lagta,headache,Roman Bhojpuri
kapar phatta,headache,Roman Bhojpuri
hamra ke kapar phatta,headache,Roman Bhojpuri
babuji ke kapar phatta,headache,Roman Bhojpuri
deh me kapar phatta lagta,headache,Roman Bhojpuri
mud dukhai,headache,Roman Bhojpuri
hamra ke mud dukhai,headache,Roman Bhojpuri
babuji ke mud dukhai,headache,Roman Bhojpuri
deh me mud dukhai lagta,headache,Roman Bhojpuri
hamar matha dukhata ba,headache,Roman Bhojpuri
hamra ke hamar matha dukhata ba,headache,Roman Bhojpuri
babuji ke hamar matha dukhata ba,headache,Roman Bhojpuri
deh me hamar matha dukhata ba lagta,headache,Roman Bhojpuri
migraine,migraine,English
suffering from migraine,migraine,English
feeling migraine,migraine,English
mild migraine,migraine,English
migrane,migraine,English
suffering from migrane,migraine,English
feeling migrane,migraine,English
mild migrane,migraine,English
one sided headache,migraine,English
suffering from one sided headache,migraine,English
feeling one sided headache,migraine,English
mild one sided headache,migraine,English
severe migraine pain,migraine,English
suffering from severe migraine pain,migraine,English
feeling severe migraine pain,migraine,English
mild severe migraine pain,migraine,English
throbbing head pain,migraine,English
suffering from throbbing head pain,migraine,English
feeling throbbing head pain,migraine,English
mild throbbing head pain,migraine,English
माइग्रेन,migraine,Hindi
मुझे माइग्रेन महसूस हो रहा है,migraine,Hindi
लगातार माइग्रेन,migraine,Hindi
आधे सिर का दर्द,migraine,Hindi
मुझे आधे सिर का दर्द महसूस हो रहा है,migraine,Hindi
लगातार आधे सिर का दर्द,migraine,Hindi
अधकपारी,migraine,Hindi
मुझे अधकपारी महसूस हो रहा है,migraine,Hindi
लगातार अधकपारी,migraine,Hindi
एक तरफ का सिर दर्द,migraine,Hindi
मुझे एक तरफ का सिर दर्द महसूस हो रहा है,migraine,Hindi
लगातार एक तरफ का सिर दर्द,migraine,Hindi
sir mujhe migraine ho gaya hai,migraine,Hinglish
migraine ki problem hai,migraine,Hinglish
bhaiya migraine thik nhi ho rha,migraine,Hinglish
sir mujhe migrane ho gaya hai,migraine,Hinglish
migrane ki problem hai,migraine,Hinglish
bhaiya migrane thik nhi ho rha,migraine,Hinglish
aadhe sir me dard,migraine,Hinglish
sir mujhe aadhe sir me dard ho gaya hai,migraine,Hinglish
aadhe sir me dard ki problem hai,migraine,Hinglish
bhaiya aadhe sir me dard thik nhi ho rha,migraine,Hinglish
adhkapari,migraine,Hinglish
sir mujhe adhkapari ho gaya hai,migraine,Hinglish
adhkapari ki problem hai,migraine,Hinglish
bhaiya adhkapari thik nhi ho rha,migraine,Hinglish
ek taraf sir dard,migraine,Hinglish
sir mujhe ek taraf sir dard ho gaya hai,migraine,Hinglish
ek taraf sir dard ki problem hai,migraine,Hinglish
bhaiya ek taraf sir dard thik nhi ho rha,migraine,Hinglish
अधकपारी दुखता,migraine,Bhojpuri
हमरा के अधकपारी दुखता बा,migraine,Bhojpuri
परेशान बानी अधकपारी दुखता से,migraine,Bhojpuri
आधा माथा दुखता,migraine,Bhojpuri
हमरा के आधा माथा दुखता बा,migraine,Bhojpuri
परेशान बानी आधा माथा दुखता से,migraine,Bhojpuri
एक पटी के माथा दरद,migraine,Bhojpuri
हमरा के एक पटी के माथा दरद बा,migraine,Bhojpuri
परेशान बानी एक पटी के माथा दरद से,migraine,Bhojpuri
adhkapari dukhata,migraine,Roman Bhojpuri
hamra ke adhkapari dukhata,migraine,Roman Bhojpuri
babuji ke adhkapari dukhata,migraine,Roman Bhojpuri
deh me adhkapari dukhata lagta,migraine,Roman Bhojpuri
aadha matha dukhata,migraine,Roman Bhojpuri
hamra ke aadha matha dukhata,migraine,Roman Bhojpuri
babuji ke aadha matha dukhata,migraine,Roman Bhojpuri
deh me aadha matha dukhata lagta,migraine,Roman Bhojpuri
ek pati ke matha darad,migraine,Roman Bhojpuri
hamra ke ek pati ke matha darad,migraine,Roman Bhojpuri
babuji ke ek pati ke matha darad,migraine,Roman Bhojpuri
deh me ek pati ke matha darad lagta,migraine,Roman Bhojpuri
adhkapari ba,migraine,Roman Bhojpuri
hamra ke adhkapari ba,migraine,Roman Bhojpuri
babuji ke adhkapari ba,migraine,Roman Bhojpuri
deh me adhkapari ba lagta,migraine,Roman Bhojpuri
cough,cough,English
suffering from cough,cough,English
feeling cough,cough,English
mild cough,cough,English
coughing,cough,English
suffering from coughing,cough,English
feeling coughing,cough,English
mild coughing,cough,English
coughf,cough,English
suffering from coughf,cough,English
feeling coughf,cough,English
mild coughf,cough,English
got a cough,cough,English
suffering from got a cough,cough,English
feeling got a cough,cough,English
mild got a cough,cough,English
severe cough,cough,English
suffering from severe cough,cough,English
feeling severe cough,cough,English
mild severe cough,cough,English
खांसी,cough,Hindi
मुझे खांसी महसूस हो रहा है,cough,Hindi
लगातार खांसी,cough,Hindi
खसखस,cough,Hindi
मुझे खसखस महसूस हो रहा है,cough,Hindi
लगातार खसखस,cough,Hindi
खांस रहा हूँ,cough,Hindi
मुझे खांस रहा हूँ महसूस हो रहा है,cough,Hindi
लगातार खांस रहा हूँ,cough,Hindi
खांसी आ रही है,cough,Hindi
मुझे खांसी आ रही है महसूस हो रहा है,cough,Hindi
लगातार खांसी आ रही है,cough,Hindi
khansi,cough,Hinglish
sir mujhe khansi ho gaya hai,cough,Hinglish
khansi ki problem hai,cough,Hinglish
bhaiya khansi thik nhi ho rha,cough,Hinglish
khasi,cough,Hinglish
sir mujhe khasi ho gaya hai,cough,Hinglish
khasi ki problem hai,cough,Hinglish
bhaiya khasi thik nhi ho rha,cough,Hinglish
khansi aa rahi hai,cough,Hinglish
sir mujhe khansi aa rahi hai ho gaya hai,cough,Hinglish
khansi aa rahi hai ki problem hai,cough,Hinglish
bhaiya khansi aa rahi hai thik nhi ho rha,cough,Hinglish
khasi ho gaya hai,cough,Hinglish
sir mujhe khasi ho gaya hai ho gaya hai,cough,Hinglish
khasi ho gaya hai ki problem hai,cough,Hinglish
bhaiya khasi ho gaya hai thik nhi ho rha,cough,Hinglish
खोंखी,cough,Bhojpuri
हमरा के खोंखी बा,cough,Bhojpuri
परेशान बानी खोंखी से,cough,Bhojpuri
खोंखी आवता,cough,Bhojpuri
हमरा के खोंखी आवता बा,cough,Bhojpuri
परेशान बानी खोंखी आवता से,cough,Bhojpuri
खोंखत बानी,cough,Bhojpuri
हमरा के खोंखत बानी बा,cough,Bhojpuri
परेशान बानी खोंखत बानी से,cough,Bhojpuri
खोखी भइल बा,cough,Bhojpuri
हमरा के खोखी भइल बा बा,cough,Bhojpuri
परेशान बानी खोखी भइल बा से,cough,Bhojpuri
khonkhi,cough,Roman Bhojpuri
hamra ke khonkhi,cough,Roman Bhojpuri
babuji ke khonkhi,cough,Roman Bhojpuri
deh me khonkhi lagta,cough,Roman Bhojpuri
khonkhi aavata,cough,Roman Bhojpuri
hamra ke khonkhi aavata,cough,Roman Bhojpuri
babuji ke khonkhi aavata,cough,Roman Bhojpuri
deh me khonkhi aavata lagta,cough,Roman Bhojpuri
khonkhat bani,cough,Roman Bhojpuri
hamra ke khonkhat bani,cough,Roman Bhojpuri
babuji ke khonkhat bani,cough,Roman Bhojpuri
deh me khonkhat bani lagta,cough,Roman Bhojpuri
khokhi bhail ba,cough,Roman Bhojpuri
hamra ke khokhi bhail ba,cough,Roman Bhojpuri
babuji ke khokhi bhail ba,cough,Roman Bhojpuri
deh me khokhi bhail ba lagta,cough,Roman Bhojpuri
khonkh ho gail ba,cough,Roman Bhojpuri
hamra ke khonkh ho gail ba,cough,Roman Bhojpuri
babuji ke khonkh ho gail ba,cough,Roman Bhojpuri
deh me khonkh ho gail ba lagta,cough,Roman Bhojpuri
cold,cold,English
suffering from cold,cold,English
feeling cold,cold,English
mild cold,cold,English
caught a cold,cold,English
suffering from caught a cold,cold,English
feeling caught a cold,cold,English
mild caught a cold,cold,English
cld,cold,English
suffering from cld,cold,English
feeling cld,cold,English
mild cld,cold,English
common cold,cold,English
suffering from common cold,cold,English
feeling common cold,cold,English
mild common cold,cold,English
stuffy cold,cold,English
suffering from stuffy cold,cold,English
feeling stuffy cold,cold,English
mild stuffy cold,cold,English
सर्दी,cold,Hindi
मुझे सर्दी महसूस हो रहा है,cold,Hindi
लगातार सर्दी,cold,Hindi
जुकाम,cold,Hindi
मुझे जुकाम महसूस हो रहा है,cold,Hindi
लगातार जुकाम,cold,Hindi
ठंड लग गई है,cold,Hindi
मुझे ठंड लग गई है महसूस हो रहा है,cold,Hindi
लगातार ठंड लग गई है,cold,Hindi
शीत लग गया है,cold,Hindi
मुझे शीत लग गया है महसूस हो रहा है,cold,Hindi
लगातार शीत लग गया है,cold,Hindi
sardi,cold,Hinglish
sir mujhe sardi ho gaya hai,cold,Hinglish
sardi ki problem hai,cold,Hinglish
bhaiya sardi thik nhi ho rha,cold,Hinglish
jukam,cold,Hinglish
sir mujhe jukam ho gaya hai,cold,Hinglish
jukam ki problem hai,cold,Hinglish
bhaiya jukam thik nhi ho rha,cold,Hinglish
zukam,cold,Hinglish
sir mujhe zukam ho gaya hai,cold,Hinglish
zukam ki problem hai,cold,Hinglish
bhaiya zukam thik nhi ho rha,cold,Hinglish
sardi ho gayi hai,cold,Hinglish
sir mujhe sardi ho gayi hai ho gaya hai,cold,Hinglish
sardi ho gayi hai ki problem hai,cold,Hinglish
bhaiya sardi ho gayi hai thik nhi ho rha,cold,Hinglish
thand lag gayi hai,cold,Hinglish
sir mujhe thand lag gayi hai ho gaya hai,cold,Hinglish
thand lag gayi hai ki problem hai,cold,Hinglish
bhaiya thand lag gayi hai thik nhi ho rha,cold,Hinglish
ठंढा मार देले बा,cold,Bhojpuri
हमरा के ठंढा मार देले बा बा,cold,Bhojpuri
परेशान बानी ठंढा मार देले बा से,cold,Bhojpuri
जुकाम भइल बा,cold,Bhojpuri
हमरा के जुकाम भइल बा बा,cold,Bhojpuri
परेशान बानी जुकाम भइल बा से,cold,Bhojpuri
देसवा में लहर बा,cold,Bhojpuri
हमरा के देसवा में लहर बा बा,cold,Bhojpuri
परेशान बानी देसवा में लहर बा से,cold,Bhojpuri
सॉर्दी भइल बा,cold,Bhojpuri
हमरा के सॉर्दी भइल बा बा,cold,Bhojpuri
परेशान बानी सॉर्दी भइल बा से,cold,Bhojpuri
thandhamar dele ba,cold,Roman Bhojpuri
hamra ke thandhamar dele ba,cold,Roman Bhojpuri
babuji ke thandhamar dele ba,cold,Roman Bhojpuri
deh me thandhamar dele ba lagta,cold,Roman Bhojpuri
jukam bhail ba,cold,Roman Bhojpuri
hamra ke jukam bhail ba,cold,Roman Bhojpuri
babuji ke jukam bhail ba,cold,Roman Bhojpuri
deh me jukam bhail ba lagta,cold,Roman Bhojpuri
sardi bhail ba,cold,Roman Bhojpuri
hamra ke sardi bhail ba,cold,Roman Bhojpuri
babuji ke sardi bhail ba,cold,Roman Bhojpuri
deh me sardi bhail ba lagta,cold,Roman Bhojpuri
sordi ho gail ba,cold,Roman Bhojpuri
hamra ke sordi ho gail ba,cold,Roman Bhojpuri
babuji ke sordi ho gail ba,cold,Roman Bhojpuri
deh me sordi ho gail ba lagta,cold,Roman Bhojpuri
runny nose,runny_nose,English
suffering from runny nose,runny_nose,English
feeling runny nose,runny_nose,English
mild runny nose,runny_nose,English
i have runny nose,runny_nose,English
suffering from i have runny nose,runny_nose,English
feeling i have runny nose,runny_nose,English
mild i have runny nose,runny_nose,English
severe runny nose,runny_nose,English
suffering from severe runny nose,runny_nose,English
feeling severe runny nose,runny_nose,English
mild severe runny nose,runny_nose,English
runny noseing,runny_nose,English
suffering from runny noseing,runny_nose,English
feeling runny noseing,runny_nose,English
mild runny noseing,runny_nose,English
runnynose,runny_nose,English
suffering from runnynose,runny_nose,English
feeling runnynose,runny_nose,English
mild runnynose,runny_nose,English
मुझे runny nose महसूस हो रहा है,runny_nose,Hindi
लगातार runny nose,runny_nose,Hindi
मुझे runny nose है,runny_nose,Hindi
मुझे मुझे runny nose है महसूस हो रहा है,runny_nose,Hindi
लगातार मुझे runny nose है,runny_nose,Hindi
बहुत तेज runny nose,runny_nose,Hindi
मुझे बहुत तेज runny nose महसूस हो रहा है,runny_nose,Hindi
लगातार बहुत तेज runny nose,runny_nose,Hindi
runny nose की शिकायत है,runny_nose,Hindi
मुझे runny nose की शिकायत है महसूस हो रहा है,runny_nose,Hindi
लगातार runny nose की शिकायत है,runny_nose,Hindi
sir mujhe runny nose ho gaya hai,runny_nose,Hinglish
runny nose ki problem hai,runny_nose,Hinglish
bhaiya runny nose thik nhi ho rha,runny_nose,Hinglish
mujhe runny nose hai,runny_nose,Hinglish
sir mujhe mujhe runny nose hai ho gaya hai,runny_nose,Hinglish
mujhe runny nose hai ki problem hai,runny_nose,Hinglish
bhaiya mujhe runny nose hai thik nhi ho rha,runny_nose,Hinglish
bahut jyada runny nose,runny_nose,Hinglish
sir mujhe bahut jyada runny nose ho gaya hai,runny_nose,Hinglish
bahut jyada runny nose ki problem hai,runny_nose,Hinglish
bhaiya bahut jyada runny nose thik nhi ho rha,runny_nose,Hinglish
runny nose ho rha h,runny_nose,Hinglish
sir mujhe runny nose ho rha h ho gaya hai,runny_nose,Hinglish
runny nose ho rha h ki problem hai,runny_nose,Hinglish
bhaiya runny nose ho rha h thik nhi ho rha,runny_nose,Hinglish
runny nose h,runny_nose,Hinglish
sir mujhe runny nose h ho gaya hai,runny_nose,Hinglish
runny nose h ki problem hai,runny_nose,Hinglish
bhaiya runny nose h thik nhi ho rha,runny_nose,Hinglish
runny nose बा,runny_nose,Bhojpuri
हमरा के runny nose बा बा,runny_nose,Bhojpuri
परेशान बानी runny nose बा से,runny_nose,Bhojpuri
हमरा runny nose बा,runny_nose,Bhojpuri
हमरा के हमरा runny nose बा बा,runny_nose,Bhojpuri
परेशान बानी हमरा runny nose बा से,runny_nose,Bhojpuri
देहिया में runny nose बा,runny_nose,Bhojpuri
हमरा के देहिया में runny nose बा बा,runny_nose,Bhojpuri
परेशान बानी देहिया में runny nose बा से,runny_nose,Bhojpuri
बहुत बेसी runny nose बा,runny_nose,Bhojpuri
हमरा के बहुत बेसी runny nose बा बा,runny_nose,Bhojpuri
परेशान बानी बहुत बेसी runny nose बा से,runny_nose,Bhojpuri
runny nose ba,runny_nose,Roman Bhojpuri
hamra ke runny nose ba,runny_nose,Roman Bhojpuri
babuji ke runny nose ba,runny_nose,Roman Bhojpuri
deh me runny nose ba lagta,runny_nose,Roman Bhojpuri
hamra runny nose ba,runny_nose,Roman Bhojpuri
hamra ke hamra runny nose ba,runny_nose,Roman Bhojpuri
babuji ke hamra runny nose ba,runny_nose,Roman Bhojpuri
deh me hamra runny nose ba lagta,runny_nose,Roman Bhojpuri
dehiya me runny nose ba,runny_nose,Roman Bhojpuri
hamra ke dehiya me runny nose ba,runny_nose,Roman Bhojpuri
babuji ke dehiya me runny nose ba,runny_nose,Roman Bhojpuri
deh me dehiya me runny nose ba lagta,runny_nose,Roman Bhojpuri
bahut besi runny nose ba,runny_nose,Roman Bhojpuri
