disease,specialist_doctor,department,consultation_priority,referral_required
Skin Allergy,Dermatologist,Dermatology,Low,No
Eczema,Dermatologist,Dermatology,Low,No
Psoriasis,Dermatologist,Dermatology,Medium,No
Acne,Dermatologist,Dermatology,Low,No
Fungal Infection,Dermatologist,Dermatology,Low,No
Conjunctivitis,Ophthalmologist,Ophthalmology,Medium,No
Cataract,Ophthalmologist,Ophthalmology,Medium,No
Glaucoma,Ophthalmologist,Ophthalmology,High,Yes
Ear Infection,Otolaryngologist,ENT Department,Medium,No
Tonsillitis,Otolaryngologist,ENT Department,Medium,No
Pharyngitis,Otolaryngologist,ENT Department,Low,No
Depression,Psychiatrist,Psychiatry,Medium,No
Anxiety Disorder,Psychiatrist,Psychiatry,Medium,No
Panic Disorder,Psychiatrist,Psychiatry,High,No
Insomnia,Sleep Specialist,Neurology,Medium,Yes
Epilepsy,Neurologist,Neurology,High,Yes
Parkinson Disease,Neurologist,Neurology,High,Yes
Alzheimer Disease,Neurologist,Neurology,High,Yes
Stroke,Neurologist,Neurology,Emergency,Yes
Heart Disease,Cardiologist,Cardiology,Critical,Yes
Coronary Artery Disease,Cardiologist,Cardiology,High,Yes
Heart Failure,Cardiologist,Cardiology,Critical,Yes
Arrhythmia,Cardiologist,Cardiology,High,Yes
Angina,Cardiologist,Cardiology,Emergency,Yes
COPD,Pulmonologist,Pulmonology,High,Yes
Sleep Apnea,Sleep Specialist,Pulmonology,Medium,No
Appendicitis,General Surgeon,Surgery,Emergency,Yes
Gallstones,General Surgeon,Surgery,High,Yes
Pancreatitis,Gastroenterologist,Gastroenterology,Emergency,Yes
PCOS,Gynecologist,Gynecology,Medium,No
Menstrual Disorder,Gynecologist,Gynecology,Medium,No
Osteoporosis,Rheumatologist,Rheumatology,Medium,No
Gout,Rheumatologist,Rheumatology,Medium,No
Lupus,Rheumatologist,Rheumatology,High,Yes
Multiple Sclerosis,Neurologist,Neurology,High,Yes
Leukemia,Oncologist,Oncology,Emergency,Yes
Lymphoma,Oncologist,Oncology,Critical,Yes
Breast Cancer,Oncologist,Oncology,Critical,Yes
Lung Cancer,Oncologist,Oncology,Critical,Yes
Colon Cancer,Oncologist,Oncology,Critical,Yes
Cervical Cancer,Oncologist,Oncology,Critical,Yes
Ovarian Cancer,Oncologist,Oncology,Critical,Yes
Prostate Cancer,Oncologist,Oncology,Critical,Yes
Oral Cancer,Oncologist,Oncology,Critical,Yes
Skin Cancer,Oncologist,Oncology,High,Yes
Measles,Pediatrician,Pediatrics,Medium,No
Chickenpox,Pediatrician,Pediatrics,Medium,No
Dermatitis,Dermatologist,Dermatology,Low,No
Endometriosis,Gynecologist,Gynecology,Medium,Yes
Scabies,Dermatologist,Dermatology,Low,No
Hernia,General Surgeon,Surgery,Medium,No
Vertigo,Neurologist,Neurology,Medium,No
Crohn Disease,Gastroenterologist,Gastroenterology,High,Yes
Ulcerative Colitis,Gastroenterologist,Gastroenterology,High,Yes
Alopecia,Dermatologist,Dermatology,Low,No
Anorexia,Psychiatrist,Psychiatry,High,Yes
Bulimia,Psychiatrist,Psychiatry,High,Yes
Glomerulonephritis,Nephrologist,Nephrology,High,Yes
Kidney Failure,Nephrologist,Nephrology,Emergency,Yes
Cirrhosis,Hepatologist,Gastroenterology,Critical,Yes
Aortic Aneurysm,Vascular Surgeon,Vascular Surgery,Emergency,Yes
Meningitis,Neurologist,Neurology,Emergency,Yes
Encephalitis,Neurologist,Neurology,Emergency,Yes
Otitis Media,Otolaryngologist,ENT Department,Medium,No
Fibromyalgia,Rheumatologist,Rheumatology,Medium,Yes
Schizophrenia,Psychiatrist,Psychiatry,High,No
Bipolar Disorder,Psychiatrist,Psychiatry,High,No
Celiac Disease,Gastroenterologist,Gastroenterology,Medium,Yes
